data;tipo;conteudo
21/6/24;poema;Nesse dia que celebra sua vida, meu maior presente é te amar, ontem, hoje e em cada versão do amanhã. Ti amu bbzuco
21/6/24;link;https://drive.google.com/file/d/1Xfvaf8aEBkxvQeME1pycH3DmIVXsTFjU/view?usp=drivesdk
22/6/24;poema;"""Amo como ama o amor. Não conheço nenhuma outra razão para amar senão amar."" — Fernando Pessoa"
22/6/24;link;spotify:track:7aQjPecQdIuNd1sz3KCDhD
23/6/24;poema;"""Para pequenas criaturas como nós, a vastidão é suportável apenas por meio do amor."" — Carl Sagan"
23/6/24;link;
24/6/24;poema;"""Eu te amo como se amam certas coisas obscuras, secretamente, entre a sombra e a alma."" — Pablo Neruda"
24/6/24;link;spotify:track:754kgU5rWscRTfvlsuEwFp
25/6/24;poema;"""O amor não domina; ele cultiva."" — Johann Wolfgang von Goethe"
25/6/24;link;
26/6/24;poema;"""O amor é a única paixão que se paga com uma moeda que ela mesma fabrica."" — Stendhal"
26/6/24;link;
27/6/24;poema;"""O amor é feito de uma única alma que habita dois corpos."" — Aristóteles"
27/6/24;link;
28/6/24;poema;"""Amar não é olhar um para o outro, é olhar juntos na mesma direção."" — Antoine de Saint-Exupéry"
28/6/24;link;
29/6/24;poema;"""Amar é sofrer. Para evitar o sofrimento, não se deve amar. Mas então sofre-se por não amar."" — Woody Allen"
29/6/24;link;
30/6/24;poema;"""O amor é a força mais sutil do mundo."" — Mahatma Gandhi"
30/6/24;link;
1/7/24;poema;"""O amor é a resposta, mas enquanto você espera pela resposta, o sexo levanta algumas questões bem interessantes."" — Woody Allen"
1/7/24;link;
2/7/24;poema;"""Uma cumplicidade muda, e tão secreta que, penso, talvez você nunca tenha percebido."" — Caio Fernando Abreu"
2/7/24;link;
3/7/24;poema;"""Amar é dormir ao lado de alguém que te cura de qualquer preocupação."" — Autor desconhecido"
3/7/24;link;
4/7/24;poema;"""O amor é companheirismo, presença, parceria. É recíproco, intenso e envolvente."" — Autor desconhecido"
4/7/24;link;
5/7/24;poema;"""Amar é segurar firme a mão do outro e sentir segurança suficiente pra entender que você estará presente."" — Autor desconhecido"
5/7/24;link;
6/7/24;poema;"""Amar é saber que ninguém é dono de ninguém."" — Autor desconhecido"
6/7/24;link;
7/7/24;poema;"""Amar é mergulhar em um olhar que não te afoga."" — Autor desconhecido"
7/7/24;link;
8/7/24;poema;"""Amar é transformar um abraço em um abrigo."" — Autor desconhecido"
8/7/24;link;
9/7/24;poema;"""Amar é morar em alguém que mesmo com tantos defeitos e diferenças, não te assusta."" — Autor desconhecido"
9/7/24;link;
10/7/24;poema;"""Amar é aceitar o outro por completo sem tirar nem alterar nada."" — Autor desconhecido"
10/7/24;link;
11/7/24;poema;"""Amar é doar-se por completo pra alguém sem medo do que esse alguém possa fazer com você."" — Autor desconhecido"
11/7/24;link;
12/7/24;poema;"""Nos momentos de dificuldade de minha vida, lembrei-me que na história da humanidade o amor e a verdade sempre venceram."" — Mahatma Gandhi"
12/7/24;link;
13/7/24;poema;"""A dor que você sente agora será a força que te impulsiona amanhã."" — Autor desconhecido"
13/7/24;link;
14/7/24;poema;"""Fracassos são degraus para o sucesso. Suba cada um com coragem."" — Autor desconhecido"
14/7/24;link;
15/7/24;poema;"""Quando tudo parece perdido, lembre-se: o renascimento começa no caos."" — Autor desconhecido"
15/7/24;link;
16/7/24;poema;"""Encontre sua luz interior. É ela que te guiará na escuridão."" — Autor desconhecido"
16/7/24;link;
17/7/24;poema;"""Você não é definido pelos seus erros, mas pelo que aprende com eles."" — Autor desconhecido"
17/7/24;link;
18/7/24;poema;"""Ser forte é continuar voando alto quando suas asas são arrancadas de você."" — Autor desconhecido"
18/7/24;link;
19/7/24;poema;"""Acalma o teu coração, dias ruins são necessários, para que os bons possam valer a pena."" — Autor desconhecido"
19/7/24;link;
20/7/24;poema;"""Está difícil? Enfrente! Ninguém vai fazer por você o que só você é capaz."" — Autor desconhecido"
20/7/24;link;
21/7/24;poema;"""Nos dias difíceis, memorize o que Deus já fez por você. Relembre o que pode lhe dar esperança."" — Autor desconhecido"
21/7/24;link;
22/7/24;poema;"""Se eu tivesse uma flor para cada vez que eu pensasse em você… eu poderia andar pelo meu jardim para sempre."" — Alfred Tennyson"
22/7/24;link;
23/7/24;poema;"""Amor é só uma palavra até que alguém venha e lhe dê sentido."" — Paulo Coelho"
23/7/24;link;
24/7/24;poema;"""Para nós dois, 'casa' não é um lugar. É uma pessoa."" — Stephanie Perkins"
24/7/24;link;
25/7/24;poema;"""Uma palavra nos livra de todo o peso e dor da vida: essa palavra é amor."" — Sófocles"
25/7/24;link;
26/7/24;poema;"""Estamos dormindo até nos apaixonarmos!"" — Leon Tolstói"
26/7/24;link;
27/7/24;poema;"""Quem, sendo amado, é pobre?"" — Oscar Wilde"
27/7/24;link;
28/7/24;poema;"""Eu a amei contra a razão, contra a promessa, contra a paz, contra a esperança, contra a felicidade, contra todo o desencorajamento que existe."" — Charles Dickens"
28/7/24;link;
29/7/24;poema;"""Não conheço nenhuma outra razão para amar senão amar."" — Fernando Pessoa"
29/7/24;link;
30/7/24;poema;"""O amor é querer estar preso por vontade; é servir a quem vence, o vencedor."" — William Shakespeare"
30/7/24;link;
31/7/24;poema;"""O verdadeiro amor é aquele que suporta a ausência e sobrevive na saudade."" — Autor desconhecido"
31/7/24;link;
1/8/24;poema;"""O amor é a única flor que desabrocha sem a ajuda das estações."" — Khalil Gibran"
1/8/24;link;
2/8/24;poema;"""Amar é encontrar na felicidade de outrem a própria felicidade."" — Gottfried Wilhelm Leibniz"
2/8/24;link;
3/8/24;poema;"""O amor é a asa veloz que Deus deu à alma para que ela voe até o céu."" — Michelangelo"
3/8/24;link;
4/8/24;poema;"""O amor é a poesia dos sentidos."" — Honoré de Balzac"
4/8/24;link;
5/8/24;poema;"""O amor é a beleza da alma."" — Santo Agostinho"
5/8/24;link;
6/8/24;poema;"""O amor é o triunfo da imaginação sobre a inteligência."" — H. L. Mencken"
6/8/24;link;
7/8/24;poema;"""O amor é uma flor delicada, mas é preciso ter coragem de ir colhê-la à beira de um precipício."" — Stendhal"
7/8/24;link;
8/8/24;poema;"""O amor é uma amizade com momentos eróticos."" — Antonio Gala"
8/8/24;link;
9/8/24;poema;"""O amor é como Dom Quixote: quando recobra a razão, é para morrer."" — Jacinto Benavente"
9/8/24;link;
10/8/24;poema;"""O amor é como o vento, não podemos vê-lo, mas podemos senti-lo."" — Nicholas Sparks"
10/8/24;link;
11/8/24;poema;"""O amor não consiste em olhar um para o outro, mas sim em olhar juntos na mesma direção."" — Antoine de Saint-Exupéry"
11/8/24;link;
12/8/24;poema;"""O amor é a força mais poderosa para superar qualquer dificuldade."" — Autor desconhecido"
12/8/24;link;
13/8/24;poema;"""O amor é a única paixão que se paga com uma moeda que ela mesma fabrica."" — Stendhal"
13/8/24;link;
14/8/24;poema;"""O amor é a resposta, mas enquanto você espera pela resposta, o sexo levanta algumas questões bem interessantes."" — Woody Allen"
14/8/24;link;
15/8/24;poema;"""O amor é a força mais sutil do mundo."" — Mahatma Gandhi"
15/8/24;link;
16/8/24;poema;"""O amor é a única flor que desabrocha sem a ajuda das estações."" — Khalil Gibran"
16/8/24;link;
17/8/24;poema;"""O amor é a poesia dos sentidos."" — Honoré de Balzac"
17/8/24;link;
18/8/24;poema;"""O amor é a beleza da alma."" — Santo Agostinho"
18/8/24;link;
19/8/24;poema;"""O amor é o triunfo da imaginação sobre a inteligência."" — H. L. Mencken"
19/8/24;link;
20/8/24;poema;"""O amor é uma flor delicada, mas é preciso ter coragem de ir colhê-la à beira de um precipício."" — Stendhal"
20/8/24;link;
21/8/24;poema;"""O amor é uma amizade com momentos eróticos."" — Antonio Gala"
21/8/24;link;
22/8/24;poema;"""O amor é como Dom Quixote: quando recobra a razão, é para morrer."" — Jacinto Benavente"
22/8/24;link;
23/8/24;poema;"""O amor é como o vento, não podemos vê-lo, mas podemos senti-lo."" — Nicholas Sparks"
23/8/24;link;
24/8/24;poema;"""O amor não consiste em olhar um para o outro, mas sim em olhar juntos na mesma direção."" — Antoine de Saint-Exupéry"
24/8/24;link;
25/8/24;poema;"""O amor é a força mais poderosa para superar qualquer dificuldade."" — Autor desconhecido"
25/8/24;link;
26/8/24;poema;"""O amor é a única paixão que se paga com uma moeda que ela mesma fabrica."" — Stendhal"
26/8/24;link;
27/8/24;poema;"""O amor é a resposta, mas enquanto você espera pela resposta, o sexo levanta algumas questões bem interessantes."" — Woody Allen"
27/8/24;link;
28/8/24;poema;"""O amor é a força mais sutil do mundo."" — Mahatma Gandhi"
28/8/24;link;
29/8/24;poema;"""O amor é a única flor que desabrocha sem a ajuda das estações."" — Khalil Gibran"
29/8/24;link;
30/8/24;poema;"""O amor é a poesia dos sentidos."" — Honoré de Balzac"
30/8/24;link;
31/8/24;poema;"""O amor é a beleza da alma."" — Santo Agostinho"
31/8/24;link;
1/9/24;poema;"""O amor é o triunfo da imaginação sobre a inteligência."" — H. L. Mencken"
1/9/24;link;
2/9/24;poema;"""O amor é uma flor delicada, mas é preciso ter coragem de ir colhê-la à beira de um precipício."" — Stendhal"
2/9/24;link;
3/9/24;poema;"""O amor é uma amizade com momentos eróticos."" — Antonio Gala"
3/9/24;link;
4/9/24;poema;"""O amor é como Dom Quixote: quando recobra a razão, é para morrer."" — Jacinto Benavente"
4/9/24;link;
5/9/24;poema;"""O amor é como o vento, não podemos vê-lo, mas podemos senti-lo."" — Nicholas Sparks"
5/9/24;link;
6/9/24;poema;"""O amor não consiste em olhar um para o outro, mas sim em olhar juntos na mesma direção."" — Antoine de Saint-Exupéry"
6/9/24;link;
7/9/24;poema;"""O amor é a força mais poderosa para superar qualquer dificuldade."" — Autor desconhecido"
7/9/24;link;
8/9/24;poema;"""O amor é a única paixão que se paga com uma moeda que ela mesma fabrica."" — Stendhal"
8/9/24;link;
9/9/24;poema;"""O amor é a resposta, mas enquanto você espera pela resposta, o sexo levanta algumas questões bem interessantes."" — Woody Allen"
9/9/24;link;
10/9/24;poema;"""O amor é a força mais sutil do mundo."" — Mahatma Gandhi"
10/9/24;link;
11/9/24;poema;"""O amor é a única flor que desabrocha sem a ajuda das estações."" — Khalil Gibran"
11/9/24;link;
12/9/24;poema;"""O amor é a poesia dos sentidos."" — Honoré de Balzac"
12/9/24;link;
13/9/24;poema;"""O amor é a beleza da alma."" — Santo Agostinho"
13/9/24;link;
14/9/24;poema;"""O amor é o triunfo da imaginação sobre a inteligência."" — H. L. Mencken"
14/9/24;link;
15/9/24;poema;"""O amor é uma flor delicada, mas é preciso ter coragem de ir colhê-la à beira de um precipício."" — Stendhal"
15/9/24;link;
16/9/24;poema;"""O amor é uma amizade com momentos eróticos."" — Antonio Gala"
16/9/24;link;
17/9/24;poema;"""O amor é como Dom Quixote: quando recobra a razão, é para morrer."" — Jacinto Benavente"
17/9/24;link;
18/9/24;poema;"""O amor é como o vento, não podemos vê-lo, mas podemos senti-lo."" — Nicholas Sparks"
18/9/24;link;
19/9/24;poema;"""O amor não consiste em olhar um para o outro, mas sim em olhar juntos na mesma direção."" — Antoine de Saint-Exupéry"
19/9/24;link;
20/9/24;poema;Nosso amor sobreviveu a dias ruins, por isso confio no amanhã.
20/9/24;link;
21/9/24;poema;Se tudo der errado, ainda terei você — e isso é tudo.
21/9/24;link;
22/9/24;poema;Às vezes o amor é silêncio, outras, resistência.
22/9/24;link;
23/9/24;poema;Já passamos por tanto, por que não passar por mais um pouco?
23/9/24;link;
24/9/24;poema;Que venham as dificuldades — temos um ao outro.
24/9/24;link;
25/9/24;poema;"O amor verdadeiro não teme crises; ele aprende com elas."
25/9/24;link;
26/9/24;poema;Te amar é também permanecer nos dias difíceis.
26/9/24;link;
27/9/24;poema;Mesmo nos desencontros, encontro você.
27/9/24;link;
28/9/24;poema;Que saibamos nos encontrar mesmo quando tudo parecer bagunçado.
28/9/24;link;
29/9/24;poema;“Amar é permanecer, mesmo quando o outro é tempestade.” — Desconhecido
29/9/24;link;
30/9/24;poema;O amor mora onde a paciência se deita e o cuidado acorda.
30/9/24;link;
1/10/24;poema;Você é meu poema diário.
1/10/24;link;
2/10/24;poema;Seu amor me ensinou a não fugir de mim.
2/10/24;link;
3/10/24;poema;Te amo sem pressa, sem pausa, com entrega.
3/10/24;link;
4/10/24;poema;Somos alma vestida de parceria.
4/10/24;link;
5/10/24;poema;Quando estamos juntos, o mundo parece mais justo.
5/10/24;link;
6/10/24;poema;Você é minha âncora e meu vento.
6/10/24;link;
7/10/24;poema;Te amar é um ato de fé — e eu creio em nós.
7/10/24;link;
8/10/24;poema;Com você, até o caos parece coreografia.
8/10/24;link;
9/10/24;poema;Em cada gesto seu, leio a promessa de um amor duradouro.
9/10/24;link;
10/10/24;poema;"""So baby tell me yes, and I will give you everything."""
10/10/24;link;
11/10/24;poema;"""Been a long time, but I'm back in town, and this time I'm not leaving without you."""
11/10/24;link;
12/10/24;poema;Você não é só meu amor, é meu time.
12/10/24;link;
13/10/24;poema;Somos bons até nos dias ruins.
13/10/24;link;
14/10/24;poema;Somos dois corpos, mas o mesmo fôlego.
14/10/24;link;
15/10/24;poema;Nossa conexão é mais forte que qualquer conflito.
15/10/24;link;
16/10/24;poema;Com você, o futuro não assusta.
16/10/24;link;
17/10/24;poema;Você é meu parceiro de vida, não só de momentos bons.
17/10/24;link;
18/10/24;poema;Não há vitória sem você do meu lado.
18/10/24;link;
19/10/24;poema;Estamos longe de perfeitos, mas somos reais.
19/10/24;link;
20/10/24;poema;Você conhece minhas falhas e ainda assim me escolhe.
20/10/24;link;
21/10/24;poema;“A parceria é o que sustenta o amor quando o romance dorme.” — Desconhecido
21/10/24;link;
22/10/24;poema;A vida me presenteou com você.
22/10/24;link;
23/10/24;poema;Nosso amor é a oração que deu certo.
23/10/24;link;
24/10/24;poema;Às vezes penso: como era a vida antes de você?
24/10/24;link;
25/10/24;poema;Você é meu hoje, meu ontem e meu amanhã.
25/10/24;link;
26/10/24;poema;Te amo até nas entrelinhas.
26/10/24;link;
27/10/24;poema;Você é meu capítulo favorito.
27/10/24;link;
28/10/24;poema;No teu olhar, encontro meu descanso.
28/10/24;link;
29/10/24;poema;Que nosso amor continue sendo lar, não prisão.
29/10/24;link;
30/10/24;poema;Você não me completa — me transborda.
30/10/24;link;
31/10/24;poema;“Amor bom é aquele que soma e nunca sufoca.” — Desconhecido
31/10/24;link;
1/11/24;poema;Amar você é a forma mais bonita que encontrei de me lembrar que o mundo ainda vale a pena.
1/11/24;link;
2/11/24;poema;Seu sorriso é meu lugar favorito.
2/11/24;link;
3/11/24;poema;Quando penso em amor, penso em você.
3/11/24;link;
4/11/24;poema;Meu coração tem seu nome gravado em silêncio.
4/11/24;link;
5/11/24;poema;Eu te escolheria em todas as vidas, de novo e de novo.
5/11/24;link;
6/11/24;poema;Seu abraço é meu refúgio.
6/11/24;link;
7/11/24;poema;Entre tantos mundos possíveis, o meu é você.
7/11/24;link;
8/11/24;poema;Você é poesia em dias comuns.
8/11/24;link;
9/11/24;poema;O que sentimos é imenso demais para caber em palavras.
9/11/24;link;
10/11/24;poema;“Amar não é olhar um para o outro, é olhar juntos na mesma direção.” — Antoine de Saint-Exupéry
10/11/24;link;
11/11/24;poema;"""O amor é a única flor que desabrocha sem a ajuda das estações."" — Khalil Gibran"
11/11/24;link;
12/11/24;poema;"""Amar é encontrar na felicidade de outrem a própria felicidade."" — Gottfried Wilhelm Leibniz"
12/11/24;link;
13/11/24;poema;"""O amor é a asa veloz que Deus deu à alma para que ela voe até o céu."" — Michelangelo"
13/11/24;link;
14/11/24;poema;"""O amor é a poesia dos sentidos."" — Honoré de Balzac"
14/11/24;link;
15/11/24;poema;"""O amor é a beleza da alma."" — Santo Agostinho"
15/11/24;link;
16/11/24;poema;"""O amor é o triunfo da imaginação sobre a inteligência."" — H. L. Mencken"
16/11/24;link;
17/11/24;poema;"""O amor é uma flor delicada, mas é preciso ter coragem de ir colhê-la à beira de um precipício."" — Stendhal"
17/11/24;link;
18/11/24;poema;"""O amor é uma amizade com momentos eróticos."" — Antonio Gala"
18/11/24;link;
19/11/24;poema;"""O amor é como Dom Quixote: quando recobra a razão, é para morrer."" — Jacinto Benavente"
19/11/24;link;
20/11/24;poema;"""O amor é como o vento, não podemos vê-lo, mas podemos senti-lo."" — Nicholas Sparks"
20/11/24;link;
21/11/24;poema;"""O amor não consiste em olhar um para o outro, mas sim em olhar juntos na mesma direção."" — Antoine de Saint-Exupéry"
21/11/24;link;
22/11/24;poema;"""O amor é a força mais poderosa para superar qualquer dificuldade."" — Autor desconhecido"
22/11/24;link;
23/11/24;poema;"""O amor é a única paixão que se paga com uma moeda que ela mesma fabrica."" — Stendhal"
23/11/24;link;
24/11/24;poema;"""O amor é a resposta, mas enquanto você espera pela resposta, o sexo levanta algumas questões bem interessantes."" — Woody Allen"
24/11/24;link;
25/11/24;poema;"""O amor é a força mais sutil do mundo."" — Mahatma Gandhi"
25/11/24;link;
26/11/24;poema;"""O amor é a única flor que desabrocha sem a ajuda das estações."" — Khalil Gibran"
26/11/24;link;
27/11/24;poema;"""O amor é a poesia dos sentidos."" — Honoré de Balzac"
27/11/24;link;
28/11/24;poema;"""O amor é a beleza da alma."" — Santo Agostinho"
28/11/24;link;
29/11/24;poema;"""O amor é o triunfo da imaginação sobre a inteligência."" — H. L. Mencken"
29/11/24;link;
30/11/24;poema;"""O amor é uma flor delicada, mas é preciso ter coragem de ir colhê-la à beira de um precipício."" — Stendhal"
30/11/24;link;
1/12/24;poema;"""O amor é uma amizade com momentos eróticos."" — Antonio Gala"
1/12/24;link;
2/12/24;poema;"""O amor é como Dom Quixote: quando recobra a razão, é para morrer."" — Jacinto Benavente"
2/12/24;link;
3/12/24;poema;"""O amor é como o vento, não podemos vê-lo, mas podemos senti-lo."" — Nicholas Sparks"
3/12/24;link;
4/12/24;poema;"""O amor não consiste em olhar um para o outro, mas sim em olhar juntos na mesma direção."" — Antoine de Saint-Exupéry"
4/12/24;link;
5/12/24;poema;"""O amor é a força mais poderosa para superar qualquer dificuldade."" — Autor desconhecido"
5/12/24;link;
6/12/24;poema;"""O amor é a única paixão que se paga com uma moeda que ela mesma fabrica."" — Stendhal"
6/12/24;link;
7/12/24;poema;"""O amor é a resposta, mas enquanto você espera pela resposta, o sexo levanta algumas questões bem interessantes."" — Woody Allen"
7/12/24;link;
8/12/24;poema;"""O amor é a força mais sutil do mundo."" — Mahatma Gandhi"
8/12/24;link;
9/12/24;poema;"""O amor é a única flor que desabrocha sem a ajuda das estações."" — Khalil Gibran"
